pair_index,left_id,right_id,left_score_macd,right_score_macd,winner_macd,margin_macd,left_score_kleinberg,right_score_kleinberg,winner_kleinberg,margin_kleinberg,agreed_winner
0,808787,338201,37.38621525453857,102.55854812204282,right,65.172333,18549.234284877777,125000.36855077744,right,106451.134266,right
1,127455,127451,86.06428551505442,164.02745645877516,right,77.963171,66748.95708656311,159826.70292377472,right,93077.745837,right
2,62655,976045,4.467780917431029,14.49675989949033,right,10.028979,0.021548032760620117,1358.6024703979492,right,1358.580922,right
3,192190,826755,307.79272269390964,43.23817321805271,left,264.554549,187817.53172397614,3941.600272655487,left,183875.931451,left
4,47877,232874,103.63332579768941,47.25313963468186,left,56.380186,122784.5270576477,44512.21040725708,left,78272.31665,left
5,346648,346600,62.940034539736345,59.506169190135225,left,3.433865,43688.33768415451,35111.01786327362,left,8577.319821,left
6,1041785,802314,8.098014973234207,53.5760748052472,right,45.47806,0.0,35257.51009988785,right,35257.5101,right
7,420173,71699,68.06903600220346,62.16205257331852,left,5.906983,40977.492473602295,43715.58674955368,right,2738.094276,disagree
8,92869,88968,60.11736997282239,5.640886747466982,left,54.476483,37051.87893199921,0.36913180351257324,left,37051.5098,left
9,59736,972893,32.372898405669936,15.470893609880656,left,16.902005,0.0,1101.1158514022827,right,1101.115851,disagree
10,1045902,865060,3.4626604894780177,29.479525158791546,right,26.016865,0.0,19231.0320186615,right,19231.032019,right
11,1539487,1400481,7.846034513304916,3.4812822972913073,left,4.364752,0.0,0.0,tie,0.0,disagree
12,65212,41910,368.2457789183446,89.33504407273135,left,278.910735,242452.96641540527,0.0,left,242452.966415,left
13,1447169,1462556,3.6149392317841675,4.363420049040005,right,0.748481,0.0,0.0,tie,0.0,disagree
14,801,1058291,82.92857743238022,4.716096993817995,left,78.21248,0.0,0.0,tie,0.0,disagree
15,1309642,346278,3.932354726307716,79.54414846469533,right,75.611794,0.0,0.0,tie,0.0,disagree
16,1093837,968749,7.435208857953599,11.154923569899738,right,3.719715,0.0,769.5910305976868,right,769.591031,right
17,1296025,218310,5.235486139646602,14.714683354186768,right,9.479197,0.0,0.0,tie,0.0,disagree
18,945703,696343,7.7101042471955425,12.575538397509066,right,4.865434,0.0,0.0,tie,0.0,disagree
19,1459808,634829,2.9659485200116613,37.63229903648872,right,34.666351,0.0,3912.659749984741,right,3912.65975,right
20,1151046,1270881,6.583502415351627,4.005253309373203,left,2.578249,0.0,0.0,tie,0.0,disagree
21,1290814,1385520,3.604770361237213,6.046373303822428,right,2.441603,0.0,0.0,tie,0.0,disagree
22,816491,1369964,8.043184512346922,4.950232418200881,left,3.092952,625.8150334358215,0.0,left,625.815033,left
23,816491,1197374,8.043184512346922,27.050094153234102,right,19.00691,625.8150334358215,2570.0307064056396,right,1944.215673,right
24,1350719,808787,3.1845121054401346,37.38621525453857,right,34.201703,0.0,18549.234284877777,right,18549.234285,right
25,938014,1549827,3.939009104606229,3.8985252124243446,left,0.040484,0.0,0.0,tie,0.0,disagree
26,1112812,802312,2.943205444312183,15.436620870850469,right,12.493415,0.0,3153.415373802185,right,3153.415374,right
27,899264,1247993,18.492620201298216,3.010563951237854,left,15.482056,3224.9955973625183,0.0,left,3224.995597,left
28,542693,1198834,36.24912641498095,5.33679414640741,left,30.912332,10544.249086856842,0.0,left,10544.249087,left
29,1411602,1139219,7.6630054076717595,3.729631126118864,left,3.933374,0.0,0.0,tie,0.0,disagree
30,1369035,899264,4.589820675354064,18.492620201298216,right,13.9028,0.0,3224.9955973625183,right,3224.995597,right
31,1369035,1481202,4.589820675354064,11.092325407349463,right,6.502505,0.0,0.0,tie,0.0,disagree
32,867540,1019561,26.89957456822218,9.5139974833779,left,17.385577,7592.457814693451,279.5796961784363,left,7312.878119,left
33,837915,1488638,22.012203850961995,5.639233925465487,left,16.37297,2892.8423709869385,0.0,left,2892.842371,left
34,935731,1502603,3.608162800683031,4.677223750558573,right,1.069061,0.0,0.0,tie,0.0,disagree
35,849015,1112812,6.778513441690293,2.943205444312183,left,3.835308,274.9727463722229,0.0,left,274.972746,left
36,849015,1112812,6.778513441690293,2.943205444312183,left,3.835308,274.9727463722229,0.0,left,274.972746,left
